,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,pinega,RU,0,1524007825,89,64.7,43.39,26.88,4.61
373,akhmim,EG,0,1524007825,43,26.56,31.74,66.17,2.59
374,oyo,NG,8,1524007825,76,7.84,3.93,78.18,9.08
375,odesskoye,RU,68,1524007826,78,54.21,72.97,21.53,3.04
376,firminy,FR,0,1524006000,87,45.39,4.29,57.2,2.24
377,ibipeba,BR,48,1524007826,69,-11.64,-42.01,72.69,10.76
378,saint-georges,CA,88,1524007827,93,46.12,-70.67,32.87,6.4
379,arauca,VE,75,1524006000,100,7.08,-70.76,73.4,6.93
380,felipe carrillo puerto,MX,0,1524007827,45,19.58,-88.05,80.66,7.63
381,kosh-agach,RU,48,1524007827,60,49.99,88.66,28.77,5.73
382,vikersund,NO,48,1524007828,88,59.97,9.99,31.65,2.48
